Date : 2020-04-07 15:04:19
Directory : e:\WORK\Rtis-Vutfify
Total : 476 files,  124316 codes, 14969 comments, 13838 blanks, all 153123 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\planApplication.ts                               | TypeScript |          0 |         81 |         17 |         98 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\prescription.ts                                  | TypeScript |         12 |          0 |          0 |         12 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\prescriptionDetail.ts                            | TypeScript |          7 |          0 |          1 |          8 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\prescriptions.ts                                 | TypeScript |         12 |          0 |          2 |         14 |
| e:\WORK\Rtis-Vutfify\src\store\entities\patientTreatment\targetingApplication.ts                          | TypeScript |          7 |         31 |          8 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\planApplication.ts                                                | TypeScript |          3 |          0 |          2 |          5 |
| e:\WORK\Rtis-Vutfify\src\store\entities\plan\list.ts                                                      | TypeScript |         64 |          4 |         12 |         80 |
| e:\WORK\Rtis-Vutfify\src\store\entities\plan\patientTop.ts                                                | TypeScript |         13 |          0 |          4 |         17 |
| e:\WORK\Rtis-Vutfify\src\store\entities\plan\planApplication.ts                                           | TypeScript |         21 |          0 |          6 |         27 |
| e:\WORK\Rtis-Vutfify\src\store\entities\plan\planList.ts                                                  | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\projectContent.ts                                                 | TypeScript |         61 |          8 |         14 |         83 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\approvePlan\LeftPatientInfo.ts                             | TypeScript |          7 |          0 |          1 |          8 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\approvePlan\approvePlan.ts                                 | TypeScript |        175 |          0 |         14 |        189 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\approvePlan\diagnosis.ts                                   | TypeScript |        119 |          0 |         14 |        133 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\approvePlan\patient.ts                                     | TypeScript |         36 |          0 |          4 |         40 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\examineLocationResult\examineLocationResult.ts             | TypeScript |        166 |          0 |         19 |        185 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\leftPatientInfo.ts                                         | TypeScript |        159 |          0 |         16 |        175 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\more.ts                                                    | TypeScript |          6 |          0 |          4 |         10 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\projectLocationDetailed.ts                                 | TypeScript |         12 |          0 |          3 |         15 |
| e:\WORK\Rtis-Vutfify\src\store\entities\review\reviewList.ts                                              | TypeScript |          6 |          0 |          4 |         10 |
| e:\WORK\Rtis-Vutfify\src\store\entities\role.ts                                                           | TypeScript |          9 |          0 |          1 |         10 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\getSchedul.ts                                            | TypeScript |         19 |          0 |          1 |         20 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\patientInfo.ts                                           | TypeScript |         15 |          0 |          1 |         16 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\planList.ts                                              | TypeScript |          5 |          0 |          4 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\rtisDictList.ts                                          | TypeScript |          4 |          0 |          3 |          7 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\schedule.ts                                              | TypeScript |          8 |          5 |          7 |         20 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\scheduleFormItem.ts                                      | TypeScript |         16 |          0 |          1 |         17 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\scheduleTable.ts                                         | TypeScript |          4 |          0 |          3 |          7 |
| e:\WORK\Rtis-Vutfify\src\store\entities\schedule\schedulelist.ts                                          | TypeScript |          7 |          0 |          2 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\ctsimOrder.ts                                              | TypeScript |         21 |          0 |          1 |         22 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\locationList.ts                                            | TypeScript |          4 |         38 |          4 |         46 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\patient.ts                                                 | TypeScript |          0 |         28 |          2 |         30 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\registration.ts                                            | TypeScript |          0 |         17 |          3 |         20 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\reviewTargetingApplication.ts                              | TypeScript |          3 |          0 |          3 |          6 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\sdto.ts                                                    | TypeScript |         24 |          0 |          1 |         25 |
| e:\WORK\Rtis-Vutfify\src\store\entities\target\targetResource.ts                                          | TypeScript |          3 |          0 |          3 |          6 |
| e:\WORK\Rtis-Vutfify\src\store\entities\targetingApplication.ts                                           | TypeScript |          3 |          0 |          2 |          5 |
| e:\WORK\Rtis-Vutfify\src\store\entities\tenant.ts                                                         | TypeScript |          8 |          0 |          1 |          9 |
| e:\WORK\Rtis-Vutfify\src\store\entities\user.ts                                                           | TypeScript |          4 |          0 |          0 |          4 |
